Key,Translation
ItemTooltip.MudBud,Summons little Plantero
ItemTooltip.MulticoloredBulb,{$CommonItemTooltip.PlaceableOnXmasTree}
ItemTooltip.MulticoloredLights,{$CommonItemTooltip.PlaceableOnXmasTree}
ItemTooltip.MulticolorWrench,<right> while holding to edit wire settings
ItemTooltip.MummyBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Mummy}
ItemTooltip.MushiLadybugBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.MushiLadybug}
ItemTooltip.MusicBox,Has a chance to record songs
ItemTooltip.MusicBoxDayRemix,Brought to you by Xenon and DJ Sniper
ItemTooltip.MysticCoilSnake,Summons rope snakes
ItemTooltip.MythrilAnvil,"Used to craft items from mythril, orichalcum, adamantite, and titanium bars"
ItemTooltip.MythrilChainmail,7% increased damage
ItemTooltip.MythrilDrill,Can mine Adamantite and Titanium
ItemTooltip.MythrilGreaves,10% increased critical strike chance
ItemTooltip.MythrilHat,"12% increased ranged damage
7% increased ranged critical strike chance"
ItemTooltip.MythrilHelmet,"8% increased melee critical strike chance
10% increased melee damage"
ItemTooltip.MythrilHood,"Increases maximum mana by 60
15% increased magic damage"
ItemTooltip.MythrilPickaxe,Can mine Adamantite and Titanium
ItemTooltip.Nachos,"{$CommonItemTooltip.MediumStats}
'It's nach-yos, it's mine!'"
ItemTooltip.NailheadBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Nailhead}
ItemTooltip.NanoBullet,Causes confusion and bounces back after hitting a wall
ItemTooltip.NaturesGift,6% reduced mana usage
ItemTooltip.NaughtyPresent,Summons the Frost Moon
ItemTooltip.Nazar,Immunity to Curse
ItemTooltip.NebulaArcanum,'Conjure masses of astral energy to chase down your foes'
ItemTooltip.NebulaBeastBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.NebulaBeast}
ItemTooltip.NebulaBlaze,'From Orion's belt to the palm of your hand'
ItemTooltip.NebulaBrainBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.NebulaBrain}
ItemTooltip.NebulaBreastplate,9% increased magic damage and critical strike chance
ItemTooltip.NebulaHeadcrabBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.NebulaHeadcrab}
ItemTooltip.NebulaHelmet,"Increases maximum mana by 60 and reduces mana usage by 15% 
7% increased magic damage and critical strike chance"
ItemTooltip.NebulaLeggings,"10% increased magic damage
10% increased movement speed"
ItemTooltip.NebulaMonolith,'Wield a small amount of power from the Nebula Tower'
ItemTooltip.NebulaSoldierBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.NebulaSoldier}
ItemTooltip.NecroBreastplate,5% increased ranged damage
ItemTooltip.NecroGreaves,5% increased ranged damage
ItemTooltip.NecroHelmet,5% increased ranged damage
ItemTooltip.NecromancerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Necromancer}
ItemTooltip.NecromanticScroll,"Increases your max number of minions by 1
Increases minion damage by 10%"
ItemTooltip.Nectar,Summons a Baby Hornet
ItemTooltip.NeonTetra,'Its colorful scales could sell well.'
ItemTooltip.NeptunesShell,Transforms the holder into merfolk when entering water
ItemTooltip.NettleBurst,Ignores 10 points of enemy Defense
ItemTooltip.Nevermore,{$PaintingArtist.Crowno}
ItemTooltip.NightKey,'Charged with the essence of many souls'
ItemTooltip.NightmarePickaxe,Able to mine Hellstone
ItemTooltip.NightOwlPotion,Increases night vision
ItemTooltip.NightVisionHelmet,Improves vision
ItemTooltip.NimbusRod,Summons a cloud to rain down on your foes
ItemTooltip.NinjaHood,3% increased critical strike chance
ItemTooltip.NinjaPants,3% increased critical strike chance
ItemTooltip.NinjaShirt,3% increased critical strike chance
ItemTooltip.NorthPole,Shoots an icy spear that rains snowflakes
ItemTooltip.NurseLisa,{$PaintingArtist.Garner}
ItemTooltip.NutcrackerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Nutcracker}
ItemTooltip.NypmhBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Nymph}
ItemTooltip.Oasis,{$PaintingArtist.Khaios}
ItemTooltip.OasisCrate,{$CommonItemTooltip.RightClickToOpen}
ItemTooltip.OasisCrateHard,{$CommonItemTooltip.RightClickToOpen}
ItemTooltip.ObsidianHelm,Increases minion damage by 8%
ItemTooltip.ObsidianHorseshoe,"Negates fall damage
Grants immunity to fire blocks"
ItemTooltip.ObsidianLockbox,"{$CommonItemTooltip.RightClickToOpen}
Requires a Shadow Key"
ItemTooltip.ObsidianPants,Increases minion damage by 8%
ItemTooltip.ObsidianRose,Reduces damage from touching lava
ItemTooltip.ObsidianShield,"Grants immunity to knockback
Grants immunity to fire blocks"
ItemTooltip.ObsidianShirt,Increases your max number of minions by 1
ItemTooltip.ObsidianSkinPotion,Provides immunity to lava
ItemTooltip.ObsidianSkull,Grants immunity to fire blocks
ItemTooltip.ObsidianSkullRose,"Grants immunity to fire blocks
Reduces damage from touching lava"
ItemTooltip.ObsidianWaterWalkingBoots,"Provides the ability to walk on water & honey
Grants immunity to fire blocks"
ItemTooltip.OceanCrate,{$CommonItemTooltip.RightClickToOpen}
ItemTooltip.OceanCrateHard,{$CommonItemTooltip.RightClickToOpen}
ItemTooltip.OldMiner,{$PaintingArtist.Myhre}
ItemTooltip.OminousPresence,{$PaintingArtist.Craig}
ItemTooltip.OpticStaff,Summons twins to fight for you
ItemTooltip.OrangeBloodroot,Used to make Orange Dye
ItemTooltip.OrangePressurePlate,Activates and breaks when a player steps on it
ItemTooltip.OrangeString,{$CommonItemTooltip.String}
ItemTooltip.OrichalcumAnvil,"Used to craft items from mythril, orichalcum, adamantite, and titanium bars"
ItemTooltip.OrichalcumBreastplate,6% increased critical strike chance
ItemTooltip.OrichalcumDrill,Can mine Adamantite and Titanium
ItemTooltip.OrichalcumHeadgear,"18% increased magic critical strike chance
Increases maximum mana by 80"
ItemTooltip.OrichalcumHelmet,"15% increased ranged critical strike chance
8% increased movement speed"
ItemTooltip.OrichalcumLeggings,11% increased movement speed
ItemTooltip.OrichalcumMask,"11% increased melee damage and melee speed
7% increased movement speed"
ItemTooltip.OrichalcumPickaxe,Can mine Adamantite and Titanium
ItemTooltip.OrnateShadowKey,Summons a pet shadow mimic
ItemTooltip.OutletPump,Receives water from inlet pumps
ItemTooltip.Oyster,{$CommonItemTooltip.RightClickToOpen}
ItemTooltip.PadThai,"{$CommonItemTooltip.MediumStats}
'Spicy level 5!'"
ItemTooltip.Paintbrush,Used with paint to color blocks
ItemTooltip.PaintedArrowSign,<right> to change directions
ItemTooltip.PaintedHorseSaddle,Summons a rideable painted horse mount
ItemTooltip.PaintingAcorns,{$PaintingArtist.Lazure}
ItemTooltip.PaintingCastleMarsberg,{$PaintingArtist.Lazure}
ItemTooltip.PaintingColdSnap,{$PaintingArtist.Lazure}
ItemTooltip.PaintingCursedSaint,{$PaintingArtist.Lazure}
ItemTooltip.PaintingMartiaLisa,{$PaintingArtist.Lazure}
ItemTooltip.PaintingOfALass,{$PaintingArtist.Lazure}
ItemTooltip.PaintingSnowfellas,{$PaintingArtist.Lazure}
ItemTooltip.PaintingTheSeason,{$PaintingArtist.Lazure}
ItemTooltip.PaintingTheTruthIsUpThere,{$PaintingArtist.Lazure}
ItemTooltip.PaintRoller,Used with paint to color walls
ItemTooltip.PaintScraper,"Used to remove paint
Can sometimes collect moss"
ItemTooltip.PaintSprayer,Automatically paints placed objects
ItemTooltip.PaladinBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Paladin}
ItemTooltip.PaladinsHammer,A powerful returning hammer
ItemTooltip.PaladinsShield,"Absorbs 25% of damage done to players on your team when above 25% life
Grants immunity to knockback"
ItemTooltip.PalladiumBreastplate,"3% increased damage
2% increased critical strike chance"
ItemTooltip.PalladiumDrill,Can mine Mythril and Orichalcum
ItemTooltip.PalladiumHeadgear,"9% increased magic damage and critical strike chance
Increases maximum mana by 60"
ItemTooltip.PalladiumHelmet,"9% increased ranged damage
9% increased ranged critical strike chance"
ItemTooltip.PalladiumLeggings,"2% increased damage
1% increased critical strike chance"
ItemTooltip.PalladiumMask,"12% increased melee damage
12% increased melee speed"
ItemTooltip.PalladiumPickaxe,Can mine Mythril and Orichalcum
ItemTooltip.PanicNecklace,Increases movement speed after taking damage
ItemTooltip.PapyrusScarab,"Increases your max number of minions by 1
Increases the damage and knockback of your minions"
ItemTooltip.ParrotBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Parrot}
ItemTooltip.ParrotCracker,Summons a Pet Parrot
ItemTooltip.PartyBullet,Explodes into confetti on impact
ItemTooltip.PartyBundleOfBalloonTile,'Tied down for everyone's pleasure'
ItemTooltip.PartyGirlGrenade,A small explosion that will not destroy tiles
ItemTooltip.PartyMinecart,'All aboard the party wagon!'
ItemTooltip.PartyMonolith,'Balloons shall rain from the sky'
ItemTooltip.PartyPresent,Wonder what's inside?
ItemTooltip.PDA,Displays everything
ItemTooltip.PeaceCandle,Makes surrounding creatures less hostile
ItemTooltip.Peach,{$CommonItemTooltip.MinorStats}
ItemTooltip.PeachSangria,"{$CommonItemTooltip.MinorStats}
'Life's a peach'"
ItemTooltip.PedguinHat,"Become the Pedguin
'Great for impersonating streamers!'"
ItemTooltip.PedguinPants,"Become the Pedguin
'Great for impersonating streamers!'"
ItemTooltip.PedguinShirt,"Become the Pedguin
'Great for impersonating streamers!'"
ItemTooltip.PenguinBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Penguin}
ItemTooltip.Phantasm,66% chance to not consume ammo
ItemTooltip.PhilosophersStone,Reduces the cooldown of healing potions by 25%
ItemTooltip.Pho,"{$CommonItemTooltip.MediumStats}
'Pho sho...'"
ItemTooltip.PickaxeAxe,'Not to be confused with a hamdrill'
ItemTooltip.Picksaw,Capable of mining Lihzahrd Bricks
ItemTooltip.PiggyBank,"Can be used to store your items
Stored items can only be accessed by you"
ItemTooltip.Pigronata,"Beat the shindig out of it!
May contain a suprise!"
ItemTooltip.PigronBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.PigronCorruption}
ItemTooltip.PigronMinecart,'Powered by Bacon!'
ItemTooltip.PillaginMePixels,{$PaintingArtist.Lazure}
ItemTooltip.PinaColada,"{$CommonItemTooltip.MinorStats}
'If you like pi?a coladas and getting caught in the rain'"
ItemTooltip.Pineapple,"{$CommonItemTooltip.MinorStats}
'Goes great with pizza'"
ItemTooltip.PinkGel,'Bouncy and sweet!'
ItemTooltip.PinkJellyfishBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.PinkJellyfish}
ItemTooltip.PinkPricklyPear,Used to make Pink Dye
ItemTooltip.PinkSlimeBlock,Very bouncy
ItemTooltip.PinkString,{$CommonItemTooltip.String}
ItemTooltip.PinkyBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Pinky}
ItemTooltip.PiranhaBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Piranha}
ItemTooltip.PiranhaGun,Latches on to enemies for continuous damage
ItemTooltip.PirateBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.PirateDeckhand}
ItemTooltip.PirateCaptainBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.PirateCaptain}
ItemTooltip.PirateCorsairBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.PirateCorsair}
ItemTooltip.PirateCrossbowerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.PirateCrossbower}
ItemTooltip.PirateDeadeyeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.PirateDeadeye}
ItemTooltip.PirateMap,Summons a pirate invasion
ItemTooltip.PirateShipMountItem,"Summons the Black Spot mount
'Arrr! This be mutiny!'"
ItemTooltip.PirateStaff,Summons pirates to fight for you
ItemTooltip.PixelBox,"Separates wire paths
Lights off from horizontal signals
Lights on from crossed signals"
ItemTooltip.PixieBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Pixie}
ItemTooltip.Pizza,"{$CommonItemTooltip.MajorStats}
'With pepperoni and extra cheese.'"
ItemTooltip.PlaceAbovetheClouds,{$PaintingArtist.Crowno}
ItemTooltip.PlaguebringerChestplate,"'Who knew a blight-weaving world-ender would have such good taste in fashion?'
Concept by SodaHunter"
ItemTooltip.PlaguebringerGreaves,"'The horrors these boots have seen, or should I say, stepped on.'
Concept by SodaHunter"
ItemTooltip.PlaguebringerHelmet,"'That right there is 100% genuine Ahamkara, trust!'
Concept by SodaHunter"
ItemTooltip.PlanteraBossBag,{$CommonItemTooltip.RightClickToOpen}
ItemTooltip.PlanteraPetItem,"Summons a newly sprouted Plantera
'Get to the root of the problem.'"
ItemTooltip.PlatinumPickaxe,Can mine Meteorite
ItemTooltip.PlatinumWatch,Tells the time
ItemTooltip.Plum,{$CommonItemTooltip.MinorStats}
ItemTooltip.PocketMirror,Immunity to petrification
ItemTooltip.PogoStick,"Summons a rideable pogo stick mount
Press Jump again in mid-air to do tricks!"
ItemTooltip.PoisonDart,Inflicts poison on enemies
ItemTooltip.PoisonousSporeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.None}
ItemTooltip.PoisonStaff,Shoots a poison fang that pierces multiple enemies
ItemTooltip.PoltergeistBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Poltergeist}
ItemTooltip.PortableCementMixer,Increases wall placement speed
ItemTooltip.PortableStool,Hold UP to reach higher
ItemTooltip.PossessedArmorBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.PossessedArmor}
ItemTooltip.PossessedHatchet,Chases after your enemy
ItemTooltip.PotatoChips,"{$CommonItemTooltip.MinorStats}
'Betcha can't eat just one!'"
ItemTooltip.PotionOfReturn,"Teleports you home and creates a portal
Use portal to return when you are done
'Good for one round trip!'"
ItemTooltip.PoweredbyBirds,{$PaintingArtist.Ness}
ItemTooltip.PowerGlove,"Increases melee knockback
12% increased melee speed
Enables auto swing for melee weapons
Increases the size of melee weapons"
ItemTooltip.PrehistoryPreserved,'Unearthed by C. Schneider'
ItemTooltip.Present,{$CommonItemTooltip.RightClickToOpen}
ItemTooltip.PresentMimicBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.PresentMimic}
ItemTooltip.PressureTrack,Not for use on slopes
ItemTooltip.Princess64,{$PaintingArtist.Lazure}
ItemTooltip.PrismaticPunch,"{$CommonItemTooltip.MediumStats}
'Feel the rainbow, taste the crystal!'"
ItemTooltip.ProjectilePressurePad,Activates when a projectile touches it
ItemTooltip.ProximityMineLauncher,Mines deal triple damage when armed
ItemTooltip.PsychoBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Psycho}
ItemTooltip.PsychoKnife,Allows you to go into stealth mode
ItemTooltip.PulseBow,Shoots a charged arrow
ItemTooltip.PumpkingPetItem,"Summons a possessed Jack 'O Lantern
'The flame cannot be put out!'"
ItemTooltip.PumpkinMoonMedallion,Summons the Pumpkin Moon
ItemTooltip.PumpkinPie,"{$CommonItemTooltip.MediumStats}
'Stuff it all up in one bite!'"
ItemTooltip.PurificationPowder,Cleanses the evil
ItemTooltip.PurpleCounterweight,{$CommonItemTooltip.Counterweight}
ItemTooltip.PurpleMucos,Used to make Purple Dye
ItemTooltip.PurpleSlimeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.PurpleSlime}
ItemTooltip.PurpleSolution,"Used by the Clentaminator
Spreads the Corruption"
ItemTooltip.PurpleString,{$CommonItemTooltip.String}
ItemTooltip.PutridScent,"Enemies are less likely to target you
5% increased damage and critical strike chance"
ItemTooltip.Pwnhammer,Strong enough to destroy Demon Altars
ItemTooltip.PygmyNecklace,Increases your max number of minions by 1
ItemTooltip.PygmyStaff,Summons a Pygmy to fight for you
ItemTooltip.QuadBarrelShotgun,'When 2 or 3 just doesn't cut it'
ItemTooltip.QueenBeeBossBag,{$CommonItemTooltip.RightClickToOpen}
ItemTooltip.QueenBeePetItem,"Summons a honey bee
'The secret ingredient for royal bees.'"
ItemTooltip.QueenSlimeCrystal,Summons Queen Slime
ItemTooltip.QueenSlimeHook,Teleports you to the location of the hook
ItemTooltip.QueenSlimeMountSaddle,Summons a rideable Winged Slime mount
ItemTooltip.QueenSlimePetItem,"Summons a Slime Princess
'A dessert fit for a queen!'"
ItemTooltip.QueenSpiderStaff,"{$CommonItemTooltip.Sentry}
Summons a spider queen to spit eggs at your enemies"
ItemTooltip.RabbitOrder,"'It looks like a bunny, but it's actually a bunny'"
ItemTooltip.Radar,Detects enemies around you
ItemTooltip.RagePotion,Increases critical chance by 10%
ItemTooltip.RaggedCasterBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.RaggedCaster}
ItemTooltip.RainbowCampfire,Life regen is increased when near a campfire
ItemTooltip.RainbowCrystalStaff,"{$CommonItemTooltip.Sentry}
Summons a radiant crystal that banishes your enemies
'The colors, Duke, the colors!'"
ItemTooltip.RainbowCursor,Causes your mouse cursor to have shifting rainbow colors
ItemTooltip.RainbowGun,Shoots a rainbow that does continuous damage
ItemTooltip.RainbowRod,Casts a controllable rainbow
ItemTooltip.RainbowSlimeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.RainbowSlime}
ItemTooltip.RainbowString,{$CommonItemTooltip.String}
ItemTooltip.RainbowWhip,"20 summon tag damage
10% summon tag critical strike chance
{$CommonItemTooltip.Whips}"
ItemTooltip.RainbowWings,"{$CommonItemTooltip.FlightAndSlowfall}
{$CommonItemTooltip.PressUpToBooster}"
ItemTooltip.RainCloud,Prevents fall damage
ItemTooltip.RaincoatZombieBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.ZombieRaincoat}
ItemTooltip.Rambutan,{$CommonItemTooltip.MinorStats}
ItemTooltip.RangerEmblem,15% increased ranged damage
ItemTooltip.RareEnchantment,{$PaintingArtist.Phelps}
ItemTooltip.RavagerScorpionBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.DesertScorpionWalk}
ItemTooltip.RavenBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Raven}
ItemTooltip.RavenStaff,Summons a raven to fight for you
ItemTooltip.RazorbladeTyphoon,Casts fast moving razorwheels
ItemTooltip.Razorpine,Shoots razor sharp pine needles
ItemTooltip.ReaperBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Reaper}
ItemTooltip.Reborn,{$PaintingArtist.Crowno}
ItemTooltip.RecallPotion,Teleports you home
ItemTooltip.ReconScope,"Increases view range for guns (<right> to zoom out)
10% increased ranged damage and critical strike chance
Enemies are less likely to target you
'Enemy spotted'"
ItemTooltip.RedAndBlueLights,{$CommonItemTooltip.PlaceableOnXmasTree}
ItemTooltip.RedAndGreenBulb,{$CommonItemTooltip.PlaceableOnXmasTree}
ItemTooltip.RedAndGreenGardland,{$CommonItemTooltip.PlaceableOnXmasTree}
ItemTooltip.RedAndGreenLights,{$CommonItemTooltip.PlaceableOnXmasTree}
ItemTooltip.RedAndYellowBulb,{$CommonItemTooltip.PlaceableOnXmasTree}
ItemTooltip.RedAndYellowLights,{$CommonItemTooltip.PlaceableOnXmasTree}
ItemTooltip.RedBulb,{$CommonItemTooltip.PlaceableOnXmasTree}
ItemTooltip.RedCounterweight,{$CommonItemTooltip.Counterweight}
ItemTooltip.RedDevilBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.RedDevil}
ItemTooltip.RedGardland,{$CommonItemTooltip.PlaceableOnXmasTree}
ItemTooltip.RedHat,It smells funny...
ItemTooltip.RedHusk,Used to make Red Dye
ItemTooltip.RedLights,{$CommonItemTooltip.PlaceableOnXmasTree}
ItemTooltip.RedPotion,'Only for those who are worthy'
ItemTooltip.RedPressurePlate,Activates when stepped on
ItemTooltip.RedRyder,'Don't shoot your eye out!'
ItemTooltip.RedsBreastplate,{$CommonItemTooltip.DevItem}
ItemTooltip.RedsHelmet,{$CommonItemTooltip.DevItem}
ItemTooltip.RedsLeggings,{$CommonItemTooltip.DevItem}
ItemTooltip.RedSlimeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.RedSlime}
ItemTooltip.RedSolution,"Used by the Clentaminator
Spreads the Crimson"
ItemTooltip.RedString,{$CommonItemTooltip.String}
ItemTooltip.RedsWings,"{$CommonItemTooltip.DevItem}
{$CommonItemTooltip.FlightAndSlowfall}"
ItemTooltip.RedsYoyo,{$CommonItemTooltip.DevItem}
ItemTooltip.RegenerationPotion,Provides life regeneration
ItemTooltip.ReindeerBells,Summons a rideable reindeer
ItemTooltip.REK,"Displays number of monsters, kill count, and rare creatures"
ItemTooltip.ReleaseDoves,'Released during certain ceremonies'
ItemTooltip.RestorationPotion,Reduced potion cooldown
ItemTooltip.RifleScope,"Increases view range for guns
<right> to zoom out"
ItemTooltip.RoastedBird,"{$CommonItemTooltip.MinorStats}
'Serving Size: 1 child.'"
ItemTooltip.RoastedDuck,"{$CommonItemTooltip.MediumStats}
'Better than chicken from a wall.'"
ItemTooltip.RocketBoots,Allows flight
ItemTooltip.RocketI,Small blast radius. Will not destroy tiles
ItemTooltip.RocketII,Small blast radius. Will destroy tiles
ItemTooltip.RocketIII,Large blast radius. Will not destroy tiles
ItemTooltip.RocketIV,Large blast radius. Will destroy tiles
ItemTooltip.RocketLauncher,Does extra damage on a direct hit
ItemTooltip.RockGolemBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.RockGolem}
ItemTooltip.RockLobster,'But it wasn't a rock!'
ItemTooltip.RodofDiscord,Teleports you to the position of the mouse
ItemTooltip.RollingCactus,'They hatin'...'
ItemTooltip.RoninHat,"'Your most loyal travel companion. The glowing orb is soft and welcoming.'
Concept by crowflux"
ItemTooltip.RoninPants,"'It constantly reminds you that there is more than one path to the top of the mountain.'
Concept by crowflux"
ItemTooltip.RoninShirt,"'Incredibly old, yet unnaturally durable. Who knows how long it traveled just to find you.'
Concept by crowflux"
ItemTooltip.Rope,Can be climbed on
ItemTooltip.RopeCoil,Throw to create a climbable line of rope
ItemTooltip.RottenChunk,'Looks tasty!'
ItemTooltip.RottenEgg,Best used for pranking townsfolk
ItemTooltip.RoyalGel,Slimes become friendly
ItemTooltip.RubyRobe,"Increases maximum mana by 60
Reduces mana usage by 13%"
ItemTooltip.RuneWizardBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.RuneWizard}
ItemTooltip.RustyArmoredBonesBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.RustyArmoredBonesAxe}
ItemTooltip.Safe,"Can be used to store your items
Stored items can only be accessed by you"
ItemTooltip.SafemanDressLeggings,"{$CommonItemTooltip.DevItem}
'Almost like pants'"
ItemTooltip.SafemanSunDress,"{$CommonItemTooltip.DevItem}
'Fashionable and functional'"
ItemTooltip.SafemanSunHair,"{$CommonItemTooltip.DevItem}
'Bright idea'"
ItemTooltip.SafemanWings,"{$CommonItemTooltip.DevItem}
{$CommonItemTooltip.FlightAndSlowfall}
'Can you help me tie this on?'"
ItemTooltip.SailfishBoots,The wearer can run super fast
ItemTooltip.Sake,"{$CommonItemTooltip.TipsyStats}
'Drink too much of this, and you become karate master.'"
ItemTooltip.SalamanderBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Salamander}
ItemTooltip.SandBoots,"The wearer can run super fast, and even faster on sand
'Walk without rhythm and you won't attract the worm'"
ItemTooltip.SandcastleBucket,Places sandcastles
ItemTooltip.SandElementalBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SandElemental}
ItemTooltip.SandFallBlock,Falling sand you can safely watch
ItemTooltip.SandFallWall,Falling sand you can safely watch
ItemTooltip.Sandgun,'This is a good idea!'
ItemTooltip.SandsharkBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SandShark}
ItemTooltip.SandsharkCorruptBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SandsharkCorrupt}
ItemTooltip.SandsharkCrimsonBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SandsharkCrimson}
ItemTooltip.SandsharkHallowedBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SandsharkHallow}
ItemTooltip.SandSlimeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SandSlime}
ItemTooltip.SandstorminaBalloon,"Allows the holder to double jump
Increases jump height"
ItemTooltip.SandstorminaBottle,Allows the holder to do an improved double jump
ItemTooltip.SanguineStaff,Summons a sanguine bat to fight for you
ItemTooltip.SantankMountItem,"Summons a rideable Santank mount
'For the REALLY naughty ones.'"
ItemTooltip.SapphireRobe,"Increases maximum mana by 40
Reduces mana usage by 9%"
ItemTooltip.Sashimi,"{$CommonItemTooltip.MediumStats}
'It's raw! It's exotic!'"
ItemTooltip.SauteedFrogLegs,"{$CommonItemTooltip.MediumStats}
'The other, other white meat.'"
ItemTooltip.Sawmill,Used for advanced wood crafting
ItemTooltip.ScalyTruffle,Summons a rideable Pigron mount
ItemTooltip.ScarabBomb,"A narrow explosion that will destroy most tiles
Explosion aims away from your position"
ItemTooltip.ScarecrowBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Scarecrow1}
ItemTooltip.ScourgeoftheCorruptor,A powerful javelin that unleashes tiny eaters
ItemTooltip.ScutlixBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Scutlix}
ItemTooltip.ScytheWhip,"{$CommonItemTooltip.Whips}
Strike enemies with dark energy to gain attack speed
Dark energy jumps from enemies hit by summons"
ItemTooltip.SDMG,"66% chance to not consume ammo
'It came from the edge of space'"
ItemTooltip.SeafoodDinner,"{$CommonItemTooltip.MajorStats}
'I sea food, I eat it.'"
ItemTooltip.SeaSnailBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SeaSnail}
ItemTooltip.Seaweed,Summons a pet turtle
ItemTooltip.SecretoftheSands,{$PaintingArtist.Crowno}
ItemTooltip.Seed,For use with Blowpipe
ItemTooltip.Seedling,Summons a Pet Sapling
ItemTooltip.SeveredHandBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.None}
ItemTooltip.Sextant,Displays the phase of the moon
ItemTooltip.ShadowbeamStaff,Creates a shadow beam that bounces off walls
ItemTooltip.ShadowFlameBow,Shoots Shadowflame Arrows
ItemTooltip.ShadowFlameHexDoll,Summons Shadowflame tentacles to strike your foes
ItemTooltip.ShadowFlameKnife,Inflicts Shadowflame on hit
ItemTooltip.ShadowGreaves,7% increased melee speed
ItemTooltip.ShadowHelmet,7% increased melee speed
ItemTooltip.ShadowJoustingLance,Build momentum to increase attack power
ItemTooltip.ShadowKey,Opens all Shadow Chests and Obsidian Lock Boxes
ItemTooltip.ShadowOrb,Creates a magical shadow orb
ItemTooltip.ShadowScalemail,7% increased melee speed
ItemTooltip.SharkBait,"Summons a Shark Pup
'Doo, doo, doo, doo, doo, doo'"
ItemTooltip.SharkBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Shark}
ItemTooltip.SharkronBalloon,"Increases jump height
Allows the holder to double jump"
ItemTooltip.SharkToothNecklace,Increases armor penetration by 5
ItemTooltip.SharpeningStation,Increases armor penetration for melee weapons
ItemTooltip.SharpTears,Summons blood thorns from the ground
ItemTooltip.ShinePotion,Emits an aura of light
ItemTooltip.ShiningMoon,{$PaintingArtist.Craig}
ItemTooltip.ShinyRedBalloon,Increases jump height
ItemTooltip.ShinyStone,Greatly increases life regen when not moving
ItemTooltip.ShoeSpikes,"Allows the ability to slide down walls
Improved ability if combined with Climbing Claws"
ItemTooltip.Shotgun,Fires a spread of bullets
ItemTooltip.ShrimpPoBoy,"{$CommonItemTooltip.MediumStats}
'Po' Boy are you in for a treat!'"
ItemTooltip.ShrimpyTruffle,Attracts a legendary creature which flourishes in water & combat
ItemTooltip.ShroomiteBreastplate,"13% increased ranged damage & critical strike chance
20% chance to not consume ammo"
ItemTooltip.ShroomiteHeadgear,"15% increased arrow damage
5% increased ranged critical strike chance"
ItemTooltip.ShroomiteHelmet,"15% increased rocket damage
5% increased ranged critical strike chance"
ItemTooltip.ShroomiteLeggings,"7% increased ranged critical strike chance
12% increased movement speed"
